"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","sell","","0.5","100.318","limit","trade","-0.040131","0.040131","2024-01-31T19:25:33.000Z"
"SOL-PERP","sell","","0.5","100.339","limit","trade","-0.040131","0.040131","2024-01-31T19:25:33.000Z"
"SOL-PERP","buy","","0.5","101.914","limit","trade","-0.361766","0.040766","2024-01-31T17:34:45.000Z"
"SOL-PERP","sell","","0.5","101.272","limit","trade","-0.040509","0.040509","2024-01-31T17:11:07.000Z"
"SOL-PERP","buy","","0.7","101.551","limit","trade","-0.278069","0.056869","2024-01-31T16:30:16.000Z"
"SOL-PERP","sell","","0.7","101.235","limit","trade","-0.056692","0.056692","2024-01-31T16:22:35.000Z"
"SOL-PERP","buy","","0.1","98.772","limit","trade","-0.045231","0.007898","2024-01-31T15:26:59.000Z"
"SOL-PERP","buy","","0.5","98.719","limit","trade","-0.199658","0.039491","2024-01-31T15:26:59.000Z"
"SOL-PERP","sell","","0.2","98.398","limit","trade","-0.015744","0.015744","2024-01-31T15:26:04.000Z"
"SOL-PERP","sell","","0.4","98.399","limit","trade","-0.031488","0.031488","2024-01-31T15:26:04.000Z"
"SOL-PERP","buy","","0.3","99.475","limit","trade","0.121626","0.023874","2024-01-31T15:03:27.000Z"
"SOL-PERP","sell","","0.3","99.96","limit","trade","-0.02399","0.02399","2024-01-31T14:34:09.000Z"
"SOL-PERP","buy","","0.9","98.747","limit","trade","0.912602","0.071098","2024-01-31T14:09:38.000Z"
"SOL-PERP","sell","","0.9","99.84","limit","trade","-0.071885","0.071885","2024-01-31T13:50:15.000Z"
"SOL-PERP","buy","","0.5","99.246","limit","trade","0.157302","0.039698","2024-01-31T13:27:48.000Z"
"SOL-PERP","sell","","0.5","99.64","limit","trade","-0.039856","0.039856","2024-01-31T13:20:44.000Z"
"SOL-PERP","buy","","0.4","99.471","limit","trade","-0.176231","0.031831","2024-01-31T13:19:55.000Z"
"SOL-PERP","sell","","0.4","99.11","limit","trade","-0.031715","0.031715","2024-01-31T11:57:50.000Z"
"SOL-PERP","buy","","0.6","98.655","limit","trade","-0.160754","0.047354","2024-01-31T11:46:25.000Z"
"SOL-PERP","sell","","0.6","98.466","limit","trade","-0.047264","0.047264","2024-01-31T11:40:43.000Z"
"SOL-PERP","buy","","0.3","98.108","limit","trade","-0.092246","0.023546","2024-01-31T11:19:59.000Z"
"SOL-PERP","sell","","0.3","97.879","limit","trade","-0.023491","0.023491","2024-01-31T11:05:22.000Z"
"SOL-PERP","buy","","0.4","99.464","limit","trade","-0.108228","0.031828","2024-01-31T10:21:10.000Z"
"SOL-PERP","sell","","0.4","99.273","limit","trade","-0.031767","0.031767","2024-01-31T10:18:56.000Z"
"SOL-PERP","buy","","0.4","99.293","limit","trade","-0.122174","0.031774","2024-01-31T10:18:14.000Z"
"SOL-PERP","sell","","0.4","99.067","limit","trade","-0.031701","0.031701","2024-01-31T10:11:28.000Z"
"SOL-PERP","buy","","0.5","99.3","limit","trade","0.62428","0.03972","2024-01-31T09:58:42.000Z"
"SOL-PERP","sell","","0.5","100.628","limit","trade","-0.040251","0.040251","2024-01-31T09:45:25.000Z"
