"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","sell","","0.3","97.774","limit","trade","-0.023466","0.023466","2024-02-04T13:17:38.000Z"
"SOL-PERP","buy","","0.9","97.778","limit","trade","0.3481","0.0704","2024-02-04T12:59:47.000Z"
"SOL-PERP","sell","","0.9","98.243","limit","trade","-0.070735","0.070735","2024-02-04T12:39:33.000Z"
"SOL-PERP","buy","","0.7","98.01","limit","trade","-0.154986","0.054886","2024-02-04T12:16:02.000Z"
"SOL-PERP","sell","","0.7","97.867","limit","trade","-0.054806","0.054806","2024-02-04T11:50:20.000Z"
"SOL-PERP","buy","","0.9","97.513","limit","trade","-0.241209","0.070209","2024-02-04T11:30:34.000Z"
"SOL-PERP","sell","","0.9","97.323","limit","trade","-0.070073","0.070073","2024-02-04T11:09:31.000Z"
"SOL-PERP","buy","","0.1","97.185","limit","trade","-0.008373","0.007773","2024-02-04T10:45:02.000Z"
"SOL-PERP","buy","","0.5","97.168","limit","trade","-0.033367","0.038867","2024-02-04T10:45:02.000Z"
"SOL-PERP","buy","","0.4","97.167","limit","trade","-0.026294","0.031094","2024-02-04T10:45:02.000Z"
"SOL-PERP","sell","","1","97.179","limit","trade","-0.077743","0.077743","2024-02-04T10:32:02.000Z"
"SOL-PERP","buy","","1","97.216","limit","trade","0.179227","0.077773","2024-02-04T10:13:23.000Z"
"SOL-PERP","sell","","1","97.473","limit","trade","-0.077978","0.077978","2024-02-04T09:52:11.000Z"
"SOL-PERP","buy","","0.4","97.398","limit","trade","-0.574367","0.031167","2024-02-04T09:39:00.000Z"
"SOL-PERP","sell","","0.4","96.04","limit","trade","-0.030733","0.030733","2024-02-04T09:19:29.000Z"
"SOL-PERP","buy","","0.4","96.502","limit","trade","0.033119","0.030881","2024-02-04T09:04:02.000Z"
"SOL-PERP","sell","","0.4","96.662","limit","trade","-0.030932","0.030932","2024-02-04T08:46:47.000Z"
"SOL-PERP","buy","","0.3","96.618","limit","trade","-0.109588","0.023188","2024-02-04T08:28:32.000Z"
"SOL-PERP","sell","","0.3","96.33","limit","trade","-0.023119","0.023119","2024-02-04T08:11:19.000Z"
"SOL-PERP","buy","","0.7","96.217","limit","trade","0.182018","0.053882","2024-02-04T07:47:15.000Z"
"SOL-PERP","sell","","0.7","96.554","limit","trade","-0.05407","0.05407","2024-02-04T07:26:10.000Z"
"SOL-PERP","buy","","0.8","97.212","limit","trade","-0.211016","0.062216","2024-02-04T07:05:24.000Z"
"SOL-PERP","sell","","0.8","97.026","limit","trade","-0.062097","0.062097","2024-02-04T06:50:58.000Z"
"SOL-PERP","buy","","0.7","97.362","limit","trade","0.217777","0.054523","2024-02-04T06:36:52.000Z"
"SOL-PERP","sell","","0.7","97.751","limit","trade","-0.054741","0.054741","2024-02-04T06:19:49.000Z"
"SOL-PERP","buy","","0.6","97.609","limit","trade","-0.185452","0.046852","2024-02-04T05:55:16.000Z"
"SOL-PERP","sell","","0.6","97.378","limit","trade","-0.046741","0.046741","2024-02-04T05:33:25.000Z"
"SOL-PERP","buy","","0.4","98.025","limit","trade","-0.248568","0.031368","2024-02-04T05:16:17.000Z"
"SOL-PERP","sell","","0.4","97.482","limit","trade","-0.031194","0.031194","2024-02-04T04:52:53.000Z"
"SOL-PERP","buy","","0.5","97.336","limit","trade","0.354066","0.038934","2024-02-04T04:27:55.000Z"
"SOL-PERP","sell","","0.5","98.122","limit","trade","-0.039249","0.039249","2024-02-04T04:03:04.000Z"
"SOL-PERP","buy","","0.5","99.085","limit","trade","0.097366","0.039634","2024-02-02T14:06:25.000Z"
"SOL-PERP","sell","","0.5","99.359","limit","trade","-0.039744","0.039744","2024-02-02T13:46:50.000Z"
"SOL-PERP","buy","","0.5","101.593","limit","trade","-0.10364","0.04064","2024-02-02T13:20:55.000Z"
